DATE;VALUE;TYPE;DIR
01.01.14;14631.27;CL2;LC
01.02.14;13062.56;CL2;LC
01.03.14;13351.31;CL2;LC
01.04.14;11507.66;CL2;LC
01.05.14;11173.28;CL2;LC
01.06.14;11275.06;CL2;LC
01.07.14;12445.22;CL2;LC
01.08.14;13419.92;CL2;LC
01.09.14;14920.19;CL2;LC
01.10.14;15638.46;CL2;LC
01.11.14;16041.50;CL2;LC
01.12.14;16991.66;CL2;LC
01.01.15;16045.85;CL2;LC
01.02.15;14347.72;CL2;LC
01.03.15;13878.03;CL2;LC
01.04.15;13676.20;CL2;LC
01.05.15;12908.18;CL2;LC
01.06.15;11540.12;CL2;LC
01.07.15;12077.15;CL2;LC
01.08.15;13444.67;CL2;LC
01.09.15;14394.59;CL2;LC
01.10.15;15757.34;CL2;LC
01.11.15;16615.62;CL2;LC
01.12.15;17525.34;CL2;LC
01.01.16;16220.24;CL2;LC
01.02.16;14833.74;CL2;LC
01.03.16;15044.28;CL2;LC
01.04.16;13183.34;CL2;LC
01.05.16;12805.62;CL2;LC
01.06.16;12021.07;CL2;LC
01.07.16;11965.17;CL2;LC
01.08.16;12395.35;CL2;LC
01.09.16;12925.45;CL2;LC
01.10.16;13769.09;CL2;LC
01.11.16;14931.31;CL2;LC
01.12.16;16750.85;CL2;LC
01.01.17;16406.96;CL2;LC
01.02.17;14678.95;CL2;LC
01.03.17;15027.56;CL2;LC
01.04.17;13391.35;CL2;LC
01.05.17;13052.00;CL2;LC
01.06.17;11800.53;CL2;LC
01.07.17;12309.46;CL2;LC
01.08.17;12614.44;CL2;LC
01.01.14;757.93;CL1;LC
01.02.14;679.87;CL1;LC
01.03.14;742.23;CL1;LC
01.04.14;719.18;CL1;LC
01.05.14;795.52;CL1;LC
01.06.14;763.41;CL1;LC
01.07.14;762.43;CL1;LC
01.08.14;726.77;CL1;LC
01.09.14;738.93;CL1;LC
01.10.14;779.29;CL1;LC
01.11.14;753.87;CL1;LC
01.12.14;814.88;CL1;LC
01.01.15;697.30;CL1;LC
01.02.15;629.87;CL1;LC
01.03.15;665.74;CL1;LC
01.04.15;683.40;CL1;LC
01.05.15;743.98;CL1;LC
01.06.15;711.16;CL1;LC
01.07.15;746.79;CL1;LC
01.08.15;771.07;CL1;LC
01.09.15;726.87;CL1;LC
01.10.15;722.36;CL1;LC
01.11.15;677.52;CL1;LC
01.12.15;696.64;CL1;LC
01.01.16;634.31;CL1;LC
01.02.16;683.31;CL1;LC
01.03.16;730.88;CL1;LC
01.04.16;745.05;CL1;LC
01.05.16;789.65;CL1;LC
01.06.16;748.29;CL1;LC
01.07.16;775.37;CL1;LC
01.08.16;788.41;CL1;LC
01.09.16;695.76;CL1;LC
01.10.16;722.69;CL1;LC
01.11.16;718.48;CL1;LC
01.12.16;802.91;CL1;LC
01.01.17;749.78;CL1;LC
01.02.17;681.60;CL1;LC
01.03.17;754.09;CL1;LC
01.04.17;751.13;CL1;LC
01.05.17;679.01;CL1;LC
01.06.17;670.03;CL1;LC
01.07.17;705.10;CL1;LC
01.08.17;729.23;CL1;LC
01.01.14;1200.07;WD;LC
01.02.14;1347.90;WD;LC
01.03.14;1528.09;WD;LC
01.04.14;1513.02;WD;LC
01.05.14;1230.81;WD;LC
01.06.14;1203.48;WD;LC
01.07.14;1300.16;WD;LC
01.08.14;1275.83;WD;LC
01.09.14;1214.76;WD;LC
01.10.14;1142.65;WD;LC
01.11.14;1090.38;WD;LC
01.12.14;1332.28;WD;LC
01.01.15;1290.68;WD;LC
01.02.15;1381.59;WD;LC
01.03.15;1637.49;WD;LC
01.04.15;1568.23;WD;LC
01.05.15;1241.83;WD;LC
01.06.15;1306.60;WD;LC
01.07.15;1362.30;WD;LC
01.08.15;1255.88;WD;LC
01.09.15;1197.80;WD;LC
01.10.15;1122.03;WD;LC
01.11.15;1079.37;WD;LC
01.12.15;1356.15;WD;LC
01.01.16;1260.57;WD;LC
01.02.16;1500.17;WD;LC
01.03.16;1688.88;WD;LC
01.04.16;1652.39;WD;LC
01.05.16;1389.91;WD;LC
01.06.16;1372.22;WD;LC
01.07.16;1371.54;WD;LC
01.08.16;1425.54;WD;LC
01.09.16;1317.76;WD;LC
01.10.16;1256.68;WD;LC
01.11.16;1314.20;WD;LC
01.12.16;1524.61;WD;LC
01.01.17;1387.77;WD;LC
01.02.17;1455.48;WD;LC
01.03.17;1737.87;WD;LC
01.04.17;1755.29;WD;LC
01.05.17;1599.97;WD;LC
01.06.17;1478.12;WD;LC
01.07.17;1434.04;WD;LC
01.08.17;1389.04;WD;LC
01.01.14;12893.08;MIN;LC
01.02.14;13977.84;MIN;LC
01.03.14;17779.85;MIN;LC
01.04.14;20262.52;MIN;LC
01.05.14;22691.69;MIN;LC
01.06.14;21561.96;MIN;LC
01.07.14;22244.37;MIN;LC
01.08.14;21885.60;MIN;LC
01.09.14;21198.67;MIN;LC
01.10.14;20204.14;MIN;LC
01.11.14;15540.16;MIN;LC
01.12.14;14058.62;MIN;LC
01.01.15;9963.79;MIN;LC
01.02.15;11762.39;MIN;LC
01.03.15;15219.15;MIN;LC
01.04.15;16843.39;MIN;LC
01.05.15;19146.56;MIN;LC
01.06.15;19198.16;MIN;LC
01.07.15;20656.43;MIN;LC
01.08.15;20914.19;MIN;LC
01.09.15;21158.98;MIN;LC
01.10.15;20608.64;MIN;LC
01.11.15;16360.69;MIN;LC
01.12.15;13892.20;MIN;LC
01.01.16;10483.61;MIN;LC
01.02.16;13963.18;MIN;LC
01.03.16;16990.95;MIN;LC
01.04.16;18842.62;MIN;LC
01.05.16;20763.98;MIN;LC
01.06.16;21617.86;MIN;LC
01.07.16;22699.54;MIN;LC
01.08.16;22713.35;MIN;LC
01.09.16;20581.90;MIN;LC
01.10.16;18547.70;MIN;LC
01.11.16;14805.88;MIN;LC
01.12.16;12986.86;MIN;LC
01.01.17;11434.97;MIN;LC
01.02.17;13060.06;MIN;LC
01.03.17;17293.58;MIN;LC
01.04.17;18943.86;MIN;LC
01.05.17;20909.88;MIN;LC
01.06.17;20820.98;MIN;LC
01.07.17;21398.32;MIN;LC
01.08.17;21272.63;MIN;LC
01.01.14;11444.88;PTR;LC
01.02.14;10798.13;PTR;LC
01.03.14;11890.93;PTR;LC
01.04.14;11206.78;PTR;LC
01.05.14;11872.41;PTR;LC
01.06.14;11956.02;PTR;LC
01.07.14;12347.87;PTR;LC
01.08.14;13147.87;PTR;LC
01.09.14;12680.75;PTR;LC
01.10.14;12253.63;PTR;LC
01.11.14;12418.41;PTR;LC
01.12.14;12582.43;PTR;LC
01.01.15;11707.77;PTR;LC
01.02.15;10357.47;PTR;LC
01.03.15;11367.71;PTR;LC
01.04.15;11545.69;PTR;LC
01.05.15;10926.66;PTR;LC
01.06.15;11518.16;PTR;LC
01.07.15;12261.41;PTR;LC
01.08.15;12609.27;PTR;LC
01.09.15;11200.21;PTR;LC
01.10.15;11118.00;PTR;LC
01.11.15;11434.10;PTR;LC
01.12.15;12051.42;PTR;LC
01.01.16;11152.59;PTR;LC
01.02.16;11209.22;PTR;LC
01.03.16;11500.71;PTR;LC
01.04.16;10671.74;PTR;LC
01.05.16;10462.28;PTR;LC
01.06.16;10818.08;PTR;LC
01.07.16;12213.11;PTR;LC
01.08.16;12042.67;PTR;LC
01.09.16;10739.58;PTR;LC
01.10.16;11227.67;PTR;LC
01.11.16;11281.18;PTR;LC
01.12.16;12001.22;PTR;LC
01.01.17;11561.33;PTR;LC
01.02.17;10767.80;PTR;LC
01.03.17;11843.20;PTR;LC
01.04.17;11311.36;PTR;LC
01.05.17;10828.86;PTR;LC
01.06.17;11727.65;PTR;LC
01.07.17;12488.15;PTR;LC
01.08.17;12303.77;PTR;LC
01.01.14;8308.34;ORE;LC
01.02.14;7632.94;ORE;LC
01.03.14;8381.03;ORE;LC
01.04.14;8337.40;ORE;LC
01.05.14;8431.92;ORE;LC
01.06.14;8558.74;ORE;LC
01.07.14;8567.85;ORE;LC
01.08.14;8557.58;ORE;LC
01.09.14;8543.36;ORE;LC
01.10.14;8838.62;ORE;LC
01.11.14;8293.38;ORE;LC
01.12.14;8419.53;ORE;LC
01.01.15;8448.02;ORE;LC
01.02.15;7774.31;ORE;LC
01.03.15;8705.60;ORE;LC
01.04.15;9258.73;ORE;LC
01.05.15;8845.94;ORE;LC
01.06.15;8372.32;ORE;LC
01.07.15;8965.50;ORE;LC
01.08.15;9193.39;ORE;LC
01.09.15;9130.75;ORE;LC
01.10.15;9328.50;ORE;LC
01.11.15;8698.81;ORE;LC
01.12.15;9182.56;ORE;LC
01.01.16;8478.03;ORE;LC
01.02.16;8227.64;ORE;LC
01.03.16;8733.50;ORE;LC
01.04.16;8646.67;ORE;LC
01.05.16;9248.75;ORE;LC
01.06.16;8965.58;ORE;LC
01.07.16;9089.70;ORE;LC
01.08.16;9296.48;ORE;LC
01.09.16;9109.75;ORE;LC
01.10.16;8889.30;ORE;LC
01.11.16;8473.16;ORE;LC
01.12.16;8774.52;ORE;LC
01.01.17;8530.90;ORE;LC
01.02.17;7955.46;ORE;LC
01.03.17;9012.42;ORE;LC
01.04.17;9030.54;ORE;LC
01.05.17;9690.15;ORE;LC
01.06.17;9219.20;ORE;LC
01.07.17;9209.79;ORE;LC
01.08.17;9510.93;ORE;LC
01.01.14;1406.50;FRT;LC
01.02.14;1463.94;FRT;LC
01.03.14;1668.59;FRT;LC
01.04.14;1539.73;FRT;LC
01.05.14;1292.12;FRT;LC
01.06.14;1323.90;FRT;LC
01.07.14;1341.84;FRT;LC
01.08.14;1551.26;FRT;LC
01.09.14;1326.58;FRT;LC
01.10.14;1307.58;FRT;LC
01.11.14;1436.72;FRT;LC
01.12.14;1534.54;FRT;LC
01.01.15;1582.67;FRT;LC
01.02.15;1492.02;FRT;LC
01.03.15;1707.10;FRT;LC
01.04.15;1792.09;FRT;LC
01.05.15;1473.57;FRT;LC
01.06.15;1417.13;FRT;LC
01.07.15;1596.44;FRT;LC
01.08.15;1697.28;FRT;LC
01.09.15;1420.66;FRT;LC
01.10.15;1466.04;FRT;LC
01.11.15;1537.34;FRT;LC
01.12.15;1765.67;FRT;LC
01.01.16;1796.61;FRT;LC
01.02.16;1790.20;FRT;LC
01.03.16;1878.74;FRT;LC
01.04.16;1727.03;FRT;LC
01.05.16;1580.57;FRT;LC
01.06.16;1604.35;FRT;LC
01.07.16;1676.02;FRT;LC
01.08.16;1874.55;FRT;LC
01.09.16;1603.11;FRT;LC
01.10.16;1639.83;FRT;LC
01.11.16;1712.63;FRT;LC
01.12.16;1947.14;FRT;LC
01.01.17;1905.55;FRT;LC
01.02.17;1725.16;FRT;LC
01.03.17;1966.66;FRT;LC
01.04.17;1902.03;FRT;LC
01.05.17;1858.69;FRT;LC
01.06.17;1822.80;FRT;LC
01.07.17;1909.18;FRT;LC
01.08.17;1958.37;FRT;LC
01.01.14;704.51;BRD;LC
01.02.14;812.58;BRD;LC
01.03.14;828.53;BRD;LC
01.04.14;962.94;BRD;LC
01.05.14;893.95;BRD;LC
01.06.14;683.98;BRD;LC
01.07.14;742.82;BRD;LC
01.08.14;785.54;BRD;LC
01.09.14;1000.34;BRD;LC
01.10.14;1184.13;BRD;LC
01.11.14;1003.83;BRD;LC
01.12.14;1199.31;BRD;LC
01.01.15;771.02;BRD;LC
01.02.15;1019.97;BRD;LC
01.03.15;1078.16;BRD;LC
01.04.15;929.70;BRD;LC
01.05.15;786.91;BRD;LC
01.06.15;863.26;BRD;LC
01.07.15;772.99;BRD;LC
01.08.15;849.32;BRD;LC
01.09.15;1141.70;BRD;LC
01.10.15;1302.83;BRD;LC
01.11.15;1226.05;BRD;LC
01.12.15;1335.56;BRD;LC
01.01.16;789.83;BRD;LC
01.02.16;1092.99;BRD;LC
01.03.16;1139.07;BRD;LC
01.04.16;1089.58;BRD;LC
01.05.16;857.41;BRD;LC
01.06.16;840.71;BRD;LC
01.07.16;859.76;BRD;LC
01.08.16;1050.40;BRD;LC
01.09.16;1233.44;BRD;LC
01.10.16;1395.86;BRD;LC
01.11.16;1299.89;BRD;LC
01.12.16;1273.48;BRD;LC
01.01.17;865.03;BRD;LC
01.02.17;943.23;BRD;LC
01.03.17;1098.16;BRD;LC
01.04.17;1068.83;BRD;LC
01.05.17;1024.10;BRD;LC
01.06.17;1006.15;BRD;LC
01.07.17;861.03;BRD;LC
01.08.17;993.10;BRD;LC
01.01.14;3347.57;MTL;LC
01.02.14;3356.96;MTL;LC
01.03.14;4067.43;MTL;LC
01.04.14;4219.87;MTL;LC
01.05.14;4546.88;MTL;LC
01.06.14;4481.42;MTL;LC
01.07.14;4394.72;MTL;LC
01.08.14;4666.61;MTL;LC
01.09.14;4247.00;MTL;LC
01.10.14;4208.27;MTL;LC
01.11.14;3903.52;MTL;LC
01.12.14;3834.63;MTL;LC
01.01.15;3554.54;MTL;LC
01.02.15;3422.41;MTL;LC
01.03.15;3818.44;MTL;LC
01.04.15;3660.85;MTL;LC
01.05.15;3833.79;MTL;LC
01.06.15;3887.60;MTL;LC
01.07.15;4108.17;MTL;LC
01.08.15;4166.33;MTL;LC
01.09.15;3743.58;MTL;LC
01.10.15;3889.74;MTL;LC
01.11.15;3495.21;MTL;LC
01.12.15;3291.21;MTL;LC
01.01.16;3051.01;MTL;LC
01.02.16;3279.68;MTL;LC
01.03.16;3560.28;MTL;LC
01.04.16;3931.28;MTL;LC
01.05.16;3922.61;MTL;LC
01.06.16;3624.89;MTL;LC
01.07.16;3647.39;MTL;LC
01.08.16;3640.07;MTL;LC
01.09.16;3561.21;MTL;LC
01.10.16;3659.20;MTL;LC
01.11.16;3554.26;MTL;LC
01.12.16;3565.36;MTL;LC
01.01.17;3303.25;MTL;LC
01.02.17;3218.36;MTL;LC
01.03.17;3594.43;MTL;LC
01.04.17;3733.47;MTL;LC
01.05.17;3976.51;MTL;LC
01.06.17;3975.05;MTL;LC
01.07.17;4305.89;MTL;LC
01.08.17;4519.59;MTL;LC
01.01.14;197.72;CL1;EX
01.02.14;179.22;CL1;EX
01.03.14;238.08;CL1;EX
01.04.14;166.56;CL1;EX
01.05.14;186.08;CL1;EX
01.06.14;166.18;CL1;EX
01.07.14;177.3;CL1;EX
01.08.14;277.85;CL1;EX
01.09.14;327.11;CL1;EX
01.10.14;272.56;CL1;EX
01.11.14;235.67;CL1;EX
01.12.14;171.92;CL1;EX
01.01.15;210.6;CL1;EX
01.02.15;209.58;CL1;EX
01.03.15;324.09;CL1;EX
01.04.15;253.83;CL1;EX
01.05.15;193.59;CL1;EX
01.06.15;211.62;CL1;EX
01.07.15;198.91;CL1;EX
01.08.15;185.17;CL1;EX
01.09.15;180.62;CL1;EX
01.10.15;173.63;CL1;EX
01.11.15;195.1;CL1;EX
01.12.15;156.9;CL1;EX
01.01.16;161.61;CL1;EX
01.02.16;192.64;CL1;EX
01.03.16;230.39;CL1;EX
01.04.16;199.69;CL1;EX
01.05.16;214.21;CL1;EX
01.06.16;246.46;CL1;EX
01.07.16;252.32;CL1;EX
01.08.16;289.51;CL1;EX
01.09.16;327.62;CL1;EX
01.10.16;268.79;CL1;EX
01.11.16;253.65;CL1;EX
01.12.16;203.34;CL1;EX
01.01.17;188.42;CL1;EX
01.02.17;179.16;CL1;EX
01.03.17;212.51;CL1;EX
01.04.17;214.74;CL1;EX
01.05.17;275.75;CL1;EX
01.06.17;226.42;CL1;EX
01.07.17;254.33;CL1;EX
01.08.17;249.73;CL1;EX
01.01.14;1753.05;WD;EX
01.02.14;2013.06;WD;EX
01.03.14;2362.02;WD;EX
01.04.14;2401.04;WD;EX
01.05.14;2087.33;WD;EX
01.06.14;2017.97;WD;EX
01.07.14;2101.09;WD;EX
01.08.14;1987.16;WD;EX
01.09.14;1964.66;WD;EX
01.10.14;2010.77;WD;EX
01.11.14;2030.29;WD;EX
01.12.14;2242.86;WD;EX
01.01.15;1828.29;WD;EX
01.02.15;1933.94;WD;EX
01.03.15;2401.53;WD;EX
01.04.15;2338.52;WD;EX
01.05.15;2136.12;WD;EX
01.06.15;2131.68;WD;EX
01.07.15;2069.13;WD;EX
01.08.15;2051.39;WD;EX
01.09.15;2007.2;WD;EX
01.10.15;2144.42;WD;EX
01.11.15;2023.88;WD;EX
01.12.15;2420.42;WD;EX
01.01.16;1828.79;WD;EX
01.02.16;2072.72;WD;EX
01.03.16;2640.47;WD;EX
01.04.16;2712.92;WD;EX
01.05.16;2667.74;WD;EX
01.06.16;2513.35;WD;EX
01.07.16;2416.02;WD;EX
01.08.16;2363.74;WD;EX
01.09.16;2151.75;WD;EX
01.10.16;2067.28;WD;EX
01.11.16;2263.33;WD;EX
01.12.16;2508.07;WD;EX
01.01.17;2090.47;WD;EX
01.02.17;2309.15;WD;EX
01.03.17;2661.96;WD;EX
01.04.17;2778.28;WD;EX
01.05.17;2792.89;WD;EX
01.06.17;2654.6;WD;EX
01.07.17;2491.36;WD;EX
01.08.17;2517.02;WD;EX
01.01.14;396.89;MIN;EX
01.02.14;430.88;MIN;EX
01.03.14;414.77;MIN;EX
01.04.14;398.58;MIN;EX
01.05.14;418.38;MIN;EX
01.06.14;459.26;MIN;EX
01.07.14;477.85;MIN;EX
01.08.14;462.07;MIN;EX
01.09.14;462.38;MIN;EX
01.10.14;437.95;MIN;EX
01.11.14;364.69;MIN;EX
01.12.14;351.22;MIN;EX
01.01.15;354.21;MIN;EX
01.02.15;445.79;MIN;EX
01.03.15;459.35;MIN;EX
01.04.15;451.48;MIN;EX
01.05.15;431.27;MIN;EX
01.06.15;507.35;MIN;EX
01.07.15;568.65;MIN;EX
01.08.15;571.44;MIN;EX
01.09.15;520.02;MIN;EX
01.10.15;477.5;MIN;EX
01.11.15;391.65;MIN;EX
01.12.15;322.66;MIN;EX
01.01.16;174.39;MIN;EX
01.02.16;249.93;MIN;EX
01.03.16;364.35;MIN;EX
01.04.16;412.29;MIN;EX
01.05.16;482.56;MIN;EX
01.06.16;484.72;MIN;EX
01.07.16;510.77;MIN;EX
01.08.16;519.5;MIN;EX
01.09.16;508.86;MIN;EX
01.10.16;567.43;MIN;EX
01.11.16;557.19;MIN;EX
01.12.16;395.69;MIN;EX
01.01.17;252.62;MIN;EX
01.02.17;333.83;MIN;EX
01.03.17;480.1;MIN;EX
01.04.17;501.84;MIN;EX
01.05.17;586.83;MIN;EX
01.06.17;608.72;MIN;EX
01.07.17;664.1;MIN;EX
01.08.17;564.43;MIN;EX
01.01.14;11222.99;PTR;EX
01.02.14;10178.89;PTR;EX
01.03.14;11075.36;PTR;EX
01.04.14;9570.92;PTR;EX
01.05.14;9122.14;PTR;EX
01.06.14;8650.13;PTR;EX
01.07.14;8744.26;PTR;EX
01.08.14;8334.53;PTR;EX
01.09.14;7808.62;PTR;EX
01.10.14;8987.62;PTR;EX
01.11.14;9732.92;PTR;EX
01.12.14;10384.13;PTR;EX
01.01.15;10768.99;PTR;EX
01.02.15;10239.72;PTR;EX
01.03.15;11382.76;PTR;EX
01.04.15;9340.79;PTR;EX
01.05.15;9571.57;PTR;EX
01.06.15;8691.15;PTR;EX
01.07.15;9070.59;PTR;EX
01.08.15;8817.08;PTR;EX
01.09.15;8347.53;PTR;EX
01.10.15;8345.81;PTR;EX
01.11.15;9594.72;PTR;EX
01.12.15;10390.67;PTR;EX
01.01.16;9916.74;PTR;EX
01.02.16;8806.36;PTR;EX
01.03.16;9285.17;PTR;EX
01.04.16;7995.09;PTR;EX
01.05.16;7952.32;PTR;EX
01.06.16;8267.02;PTR;EX
01.07.16;8274.96;PTR;EX
01.08.16;8386;PTR;EX
01.09.16;7786.14;PTR;EX
01.10.16;8718.2;PTR;EX
01.11.16;9205.3;PTR;EX
01.12.16;10136.45;PTR;EX
01.01.17;10014.14;PTR;EX
01.02.17;8832.97;PTR;EX
01.03.17;9214.89;PTR;EX
01.04.17;8254.06;PTR;EX
01.05.17;7991.88;PTR;EX
